primaryIdentifier,symbol,name,description,chr,start,end,n_go,go_terms
Zm00038ab324200,,,Ribosome biogenesis protein slx9-like,chr7,133416502,133417258,4,"GO:0000462 | maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) | biological_process; GO:0005730 | nucleolus | cellular_component; GO:0030686 | 90S preribosome | cellular_component; GO:0030688 | preribosome, small subunit precursor | cellular_component"
Zm00018ab331930,,,,chr7,133422085,133422566,4,GO:0003677 | DNA binding | molecular_function; GO:0005669 | transcription factor TFIID complex | cellular_component; GO:0006367 | transcription initiation at RNA polymerase II promoter | biological_process; GO:0016251 | RNA polymerase II general transcription initiation factor activity | molecular_function
Zm00026ab319970,,,Carboxypeptidase,chr7,133422481,133423944,2,GO:0004185 | serine-type carboxypeptidase activity | molecular_function; GO:0006508 | proteolysis | biological_process
Zm00025ab329080,,,Hydroxymethylglutaryl-CoA reductase (NADPH),chr7,133427817,133432480,13,GO:0004420 | hydroxymethylglutaryl-CoA reductase (NADPH) activity | molecular_function; GO:0005778 | peroxisomal membrane | cellular_component; GO:0005783 | endoplasmic reticulum | cellular_component; GO:0005789 | endoplasmic reticulum membrane | cellular_component; GO:0008299 | isoprenoid biosynthetic process | biological_process; GO:0015936 | coenzyme A metabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016126 | sterol biosynthetic process | biological_process; GO:0016746 | acyltransferase activity | molecular_function; GO:0031090 | organelle membrane | cellular_component; GO:0031984 | organelle subcompartment | cellular_component; GO:0042175 | nuclear outer membrane-endoplasmic reticulum membrane network | cellular_component; GO:0042579 | microbody | cellular_component
Zm00030ab317610,,,Coatomer subunit zeta,chr7,133429370,133434360,8,"GO:0000139 | Golgi membrane | cellular_component; GO:0003677 | DNA binding | molecular_function; GO:0006890 | retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum | biological_process; GO:0006891 | intra-Golgi vesicle-mediated transport | biological_process; GO:0015031 | protein transport | biological_process; GO:0030126 | COPI vesicle coat | cellular_component; GO:0034613 |  | ; GO:0046907 | intracellular transport | biological_process"
Zm00034ab338310,,,Heat shock protein 90,chr7,133432315,133436123,11,GO:0005524 | ATP binding | molecular_function; GO:0005829 | cytosol | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006457 | protein folding | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016887 | ATP hydrolysis activity | molecular_function; GO:0032991 | protein-containing complex | cellular_component; GO:0034605 | cellular response to heat | biological_process; GO:0048471 | perinuclear region of cytoplasm | cellular_component; GO:0050821 | protein stabilization | biological_process; GO:0051082 | unfolded protein binding | molecular_function
Zm00027ab321880,,,J domain-containing protein,chr7,133432342,133438964,2,GO:0016021 | integral component of membrane | cellular_component; GO:0016405 | CoA-ligase activity | molecular_function
Zm00026ab319980,,,Serine/threonine-protein kinase D6PKL1,chr7,133435412,133439225,6,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process
Zm00023ab325870,,,Cellulose synthase-like protein E6,chr7,133437251,133442372,10,GO:0000139 | Golgi membrane | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0009833 | plant-type primary cell wall biogenesis | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016760 | cellulose synthase (UDP-forming) activity | molecular_function; GO:0030244 | cellulose biosynthetic process | biological_process; GO:0051753 | mannan synthase activity | molecular_function; GO:0071555 | cell wall organization | biological_process; GO:0097502 | mannosylation | biological_process
Zm00029ab331540,,,,chr7,133442925,133466123,1,GO:0016021 | integral component of membrane | cellular_component
Zm00026ab319990,,,Putative E3 ubiquitin-protein ligase XERICO,chr7,133443494,133444489,15,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0009057 | macromolecule catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016874 | ligase activity | molecular_function; GO:0017119 | Golgi transport complex | cellular_component; GO:0043412 | macromolecule modification | biological_process; GO:0044238 | primary metabolic process | biological_process; GO:0044248 | cellular catabolic process | biological_process; GO:0044260 | cellular macromolecule metabolic process | biological_process; GO:0061630 | ubiquitin protein ligase activity | molecular_function; GO:1901565 | organonitrogen compound catabolic process | biological_process
Zm00021ab322040,,,UBX domain-containing protein,chr7,133443949,133445870,1,GO:0016021 | integral component of membrane | cellular_component
Zm00018ab331940,,,Heat shock protein 90,chr7,133444993,133448853,10,GO:0005524 | ATP binding | molecular_function; GO:0005829 | cytosol | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006457 | protein folding | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0032991 | protein-containing complex | cellular_component; GO:0034605 | cellular response to heat | biological_process; GO:0048471 | perinuclear region of cytoplasm | cellular_component; GO:0050821 | protein stabilization | biological_process; GO:0051082 | unfolded protein binding | molecular_function
Zm00039ab323240,,,tRNase Z TRZ2,chr7,133445513,133449236,3,"GO:0016021 | integral component of membrane | cellular_component; GO:0034414 | tRNA 3'-trailer cleavage, endonucleolytic | biological_process; GO:0042781 | 3'-tRNA processing endoribonuclease activity | molecular_function"
Zm00038ab324210,,,Zinc finger protein WIP2,chr7,133449379,133454866,10,GO:0001709 | cell fate determination | biological_process; GO:0003006 | developmental process involved in reproduction | biological_process; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0009856 | pollination | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016049 | cell growth | biological_process; GO:0048589 | developmental growth | biological_process; GO:0048856 | anatomical structure development | biological_process
Zm00036ab326010,,,,chr7,133456095,133466187,3,GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005819 | spindle | cellular_component
Zm00042ab330840,,,Peroxidase,chr7,133459777,133463164,8,GO:0004601 | peroxidase activity | molecular_function; GO:0005576 | extracellular region | cellular_component; GO:0006979 | response to oxidative stress | biological_process; GO:0009505 | plant-type cell wall | cellular_component; GO:0020037 | heme binding | molecular_function; GO:0042744 | hydrogen peroxide catabolic process | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:0098869 | cellular oxidant detoxification | biological_process
Zm00028ab325270,LOC100833205,,Epimerase domain-containing protein,chr7,133462779,133465300,1,"GO:0016616 | oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor | molecular_function"
Zm00001eb315460,,,Pentatricopeptide repeat-containing protein,chr7,133463694,133467863,5,GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0006465 | signal peptide processing | biological_process; GO:0008168 | methyltransferase activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0032259 | methylation | biological_process
Zm00042ab330850,LOC109001196,,isoamylase 3,chr7,133464533,133476336,10,"GO:0003844 | 1,4-alpha-glucan branching enzyme activity | molecular_function; GO:0005977 | glycogen metabolic process | biological_process; GO:0005983 | starch catabolic process | biological_process; GO:0009501 | amyloplast | cellular_component; GO:0009569 | chloroplast starch grain | cellular_component; GO:0009660 | amyloplast organization | biological_process; GO:0010021 | amylopectin biosynthetic process | biological_process; GO:0019156 | isoamylase activity | molecular_function; GO:0019252 | starch biosynthetic process | biological_process; GO:0043169 | cation binding | molecular_function"
Zm00020ab321310,,,Transcription factor bHLH130,chr7,133465891,133469768,5,"GO:0000978 | RNA polymerase II cis-regulatory region sequence-specific DNA binding | molecular_function; GO:0000981 | DNA-binding transcription factor activity, RNA polymerase II-specific | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0046983 | protein dimerization activity | molecular_function"
Zm00029ab331550,,,Pentatricopeptide repeat-containing protein,chr7,133466656,133469709,2,GO:0008270 | zinc ion binding | molecular_function; GO:0016787 | hydrolase activity | molecular_function
Zm00035ab328600,,,Signal transducer,chr7,133471396,133488757,4,GO:0003714 | transcription corepressor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006351 | DNA-templated transcription | biological_process; GO:0045892 | negative regulation of DNA-templated transcription | biological_process
Zm00031ab328970,LOC100278917,,Signal transducer,chr7,133472767,133490501,5,GO:0003714 | transcription corepressor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006351 | DNA-templated transcription | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0045892 | negative regulation of DNA-templated transcription | biological_process
Zm00022ab322340,,,Sodium/hydrogen exchanger,chr7,133474128,133484696,12,GO:0005768 | endosome | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006885 | regulation of pH | biological_process; GO:0015385 | sodium:proton antiporter activity | molecular_function; GO:0015386 | potassium:proton antiporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0030004 | cellular monovalent inorganic cation homeostasis | biological_process; GO:0035725 | sodium ion transmembrane transport | biological_process; GO:0071805 | potassium ion transmembrane transport | biological_process; GO:0098656 | anion transmembrane transport | biological_process; GO:0098659 | inorganic cation import across plasma membrane | biological_process; GO:1902600 | proton transmembrane transport | biological_process
Zm00032ab330240,,,Transcription factor bHLH96,chr7,133475128,133477481,5,"GO:0000978 | RNA polymerase II cis-regulatory region sequence-specific DNA binding | molecular_function; GO:0000981 | DNA-binding transcription factor activity, RNA polymerase II-specific | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0046983 | protein dimerization activity | molecular_function"
Zm00027ab321890,,,Chitinase,chr7,133475517,133477203,20,GO:0000272 | polysaccharide catabolic process | biological_process; GO:0001708 | cell fate specification | biological_process; GO:0004568 | chitinase activity | molecular_function; GO:0005794 | Golgi apparatus | cellular_component; GO:0006032 | chitin catabolic process | biological_process; GO:0006952 | defense response | biological_process; GO:0008061 | chitin binding | molecular_function; GO:0009408 | response to heat | biological_process; GO:0009414 | response to water deprivation | biological_process; GO:0009651 | response to salt stress | biological_process; GO:0009735 | response to cytokinin | biological_process; GO:0009825 | multidimensional cell growth | biological_process; GO:0010053 | root epidermal cell differentiation | biological_process; GO:0010167 | response to nitrate | biological_process; GO:0010337 | regulation of salicylic acid metabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016998 | cell wall macromolecule catabolic process | biological_process; GO:0030244 | cellulose biosynthetic process | biological_process; GO:0030247 | polysaccharide binding | molecular_function; GO:0048046 | apoplast | cellular_component
Zm00034ab338320,,,tRNase Z TRZ2,chr7,133477001,133480712,3,"GO:0016021 | integral component of membrane | cellular_component; GO:0034414 | tRNA 3'-trailer cleavage, endonucleolytic | biological_process; GO:0042781 | 3'-tRNA processing endoribonuclease activity | molecular_function"
Zm00019ab304030,,,,chr7,133477910,133479352,2,GO:0009691 | cytokinin biosynthetic process | biological_process; GO:0009736 | cytokinin-activated signaling pathway | biological_process
Zm00027ab321900,,,Methyl binding domain111,chr7,133478234,133482232,4,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0008270 | zinc ion binding | molecular_function; GO:0019899 | enzyme binding | molecular_function
Zm00037ab320680,,,Sodium/hydrogen exchanger,chr7,133480122,133491137,12,GO:0005768 | endosome | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006885 | regulation of pH | biological_process; GO:0015385 | sodium:proton antiporter activity | molecular_function; GO:0015386 | potassium:proton antiporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0030004 | cellular monovalent inorganic cation homeostasis | biological_process; GO:0035725 | sodium ion transmembrane transport | biological_process; GO:0071805 | potassium ion transmembrane transport | biological_process; GO:0098656 | anion transmembrane transport | biological_process; GO:0098659 | inorganic cation import across plasma membrane | biological_process; GO:1902600 | proton transmembrane transport | biological_process
Zm00001eb315470,,,Serine/threonine-protein kinase PEPKR2,chr7,133480795,133486127,12,GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0004683 | calmodulin-dependent protein kinase activity | molecular_function; GO:0005516 | calmodulin binding | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0009931 | calcium-dependent protein serine/threonine kinase activity | molecular_function; GO:0018105 | peptidyl-serine phosphorylation | biological_process; GO:0018209 | peptidyl-serine modification | biological_process; GO:0035556 | intracellular signal transduction | biological_process; GO:0046777 | protein autophosphorylation | biological_process
100217077,LOC100217077,LOC100217077,uncharacterized LOC100217077,chr7,133480832,133486164,9,GO:0004683 | calmodulin-dependent protein kinase activity | molecular_function; GO:0005516 | calmodulin binding | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0009931 | calcium-dependent protein serine/threonine kinase activity | molecular_function; GO:0018105 | peptidyl-serine phosphorylation | biological_process; GO:0035556 | intracellular signal transduction | biological_process; GO:0046777 | protein autophosphorylation | biological_process
Zm00021ab322050,,,Chloroplast nucleoid binding protein,chr7,133481388,133483744,4,GO:0003677 | DNA binding | molecular_function; GO:0004190 | aspartic-type endopeptidase activity | molecular_function; GO:0006508 | proteolysis | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00019ab304040,,,Pentatricopeptide repeat-containing protein,chr7,133483145,133503848,4,"GO:0008663 | 2',3'-cyclic-nucleotide 2'-phosphodiesterase activity | molecular_function; GO:0030145 | manganese ion binding | molecular_function; GO:0047631 | ADP-ribose diphosphatase activity | molecular_function; GO:0047734 | CDP-glycerol diphosphatase activity | molecular_function"
Zm00021ab322060,,,Protein ASPARTIC PROTEASE IN GUARD CELL 2,chr7,133486737,133489270,4,GO:0003677 | DNA binding | molecular_function; GO:0004190 | aspartic-type endopeptidase activity | molecular_function; GO:0006508 | proteolysis | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00035ab328610,,,Peroxidase,chr7,133489607,133493993,13,GO:0004601 | peroxidase activity | molecular_function; GO:0005576 | extracellular region | cellular_component; GO:0005773 | vacuole | cellular_component; GO:0006979 | response to oxidative stress | biological_process; GO:0009505 | plant-type cell wall | cellular_component; GO:0009519 | middle lamella | cellular_component; GO:0009809 | lignin biosynthetic process | biological_process; GO:0010228 | vegetative to reproductive phase transition of meristem | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0020037 | heme binding | molecular_function; GO:0042744 | hydrogen peroxide catabolic process | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:0098869 | cellular oxidant detoxification | biological_process
Zm00031ab328980,,,Peroxidase,chr7,133491387,133495729,14,GO:0004601 | peroxidase activity | molecular_function; GO:0005576 | extracellular region | cellular_component; GO:0005773 | vacuole | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0006979 | response to oxidative stress | biological_process; GO:0009505 | plant-type cell wall | cellular_component; GO:0009519 | middle lamella | cellular_component; GO:0009809 | lignin biosynthetic process | biological_process; GO:0010228 | vegetative to reproductive phase transition of meristem | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0020037 | heme binding | molecular_function; GO:0042744 | hydrogen peroxide catabolic process | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:0098869 | cellular oxidant detoxification | biological_process
Zm00018ab331960,,,tRNase Z TRZ2,chr7,133493031,133496223,3,"GO:0016021 | integral component of membrane | cellular_component; GO:0034414 | tRNA 3'-trailer cleavage, endonucleolytic | biological_process; GO:0042781 | 3'-tRNA processing endoribonuclease activity | molecular_function"
Zm00033ab335610,,,Carboxypeptidase,chr7,133495001,133499125,4,GO:0004185 | serine-type carboxypeptidase activity | molecular_function; GO:0005576 | extracellular region | cellular_component; GO:0005773 | vacuole | cellular_component; GO:0006508 | proteolysis | biological_process
Zm00025ab329110,,,,chr7,133496245,133496712,1,GO:0098542 | defense response to other organism | biological_process
Zm00025ab329120,LOC103632943,,Proton pump-interactor 1,chr7,133497897,133504216,1,GO:0016021 | integral component of membrane | cellular_component
Zm00029ab331600,,,,chr7,133501730,133501990,2,"GO:0016021 | integral component of membrane | cellular_component; GO:0016747 | acyltransferase activity, transferring groups other than amino-acyl groups | molecular_function"
Zm00033ab335620,,,Serine/threonine-protein kinase D6PKL2,chr7,133501959,133506032,9,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0009638 | phototropism | biological_process; GO:0043232 | intracellular non-membrane-bounded organelle | cellular_component; GO:0070013 | intracellular organelle lumen | cellular_component
Zm00023ab325880,,,RNA 3'-terminal phosphate cyclase,chr7,133502046,133505832,8,"GO:0003963 | RNA-3'-phosphate cyclase activity | molecular_function; GO:0004521 | endoribonuclease activity | molecular_function; GO:0005730 | nucleolus | cellular_component; GO:0006396 | RNA processing | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016072 | rRNA metabolic process | biological_process; GO:0042254 | ribosome biogenesis | biological_process; GO:0090502 | RNA phosphodiester bond hydrolysis, endonucleolytic | biological_process"
Zm00025ab329130,,,Cysteine/Histidine-rich C1 domain family protein,chr7,133505744,133506580,4,GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0035556 | intracellular signal transduction | biological_process; GO:0046872 | metal ion binding | molecular_function
Zm00038ab324230,,,PRELI/MSF1 domain-containing protein,chr7,133506393,133507424,5,GO:0005758 | mitochondrial intermembrane space | cellular_component; GO:0015914 | phospholipid transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0120009 | intermembrane lipid transfer | biological_process; GO:1990050 | phosphatidic acid transfer activity | molecular_function
Zm00019ab304050,,,Basic leucine zipper 43,chr7,133507082,133507949,5,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:1903508 | positive regulation of nucleic acid-templated transcription | biological_process
Zm00041ab329460,,,WRKY domain-containing protein,chr7,133509046,133513836,5,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0043565 | sequence-specific DNA binding | molecular_function; GO:0050896 | response to stimulus | biological_process
Zm00038ab324240,,,Stress associated protein,chr7,133510369,133511678,7,GO:0003677 | DNA binding | molecular_function; GO:0004842 | ubiquitin-protein transferase activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006970 | response to osmotic stress | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0009414 | response to water deprivation | biological_process; GO:0016567 | protein ubiquitination | biological_process
Zm00032ab330250,,,RING-type E3 ubiquitin transferase,chr7,133516653,133520145,3,GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0016746 | acyltransferase activity | molecular_function
Zm00037ab320690,,,Heat shock protein 90,chr7,133517806,133521452,11,GO:0005524 | ATP binding | molecular_function; GO:0005829 | cytosol | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006457 | protein folding | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016887 | ATP hydrolysis activity | molecular_function; GO:0032991 | protein-containing complex | cellular_component; GO:0034605 | cellular response to heat | biological_process; GO:0048471 | perinuclear region of cytoplasm | cellular_component; GO:0050821 | protein stabilization | biological_process; GO:0051082 | unfolded protein binding | molecular_function
Zm00022ab322360,,,Heat shock protein 90,chr7,133521292,133524920,10,GO:0005524 | ATP binding | molecular_function; GO:0005829 | cytosol | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006457 | protein folding | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0032991 | protein-containing complex | cellular_component; GO:0034605 | cellular response to heat | biological_process; GO:0048471 | perinuclear region of cytoplasm | cellular_component; GO:0050821 | protein stabilization | biological_process; GO:0051082 | unfolded protein binding | molecular_function
Zm00036ab326020,,,Cellulose synthase-like protein E6,chr7,133526906,133532085,11,GO:0000139 | Golgi membrane | cellular_component; GO:0000281 | mitotic cytokinesis | biological_process; GO:0005886 | plasma membrane | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0016760 | cellulose synthase (UDP-forming) activity | molecular_function; GO:0030244 | cellulose biosynthetic process | biological_process; GO:0042546 | cell wall biogenesis | biological_process; GO:0051753 | mannan synthase activity | molecular_function; GO:0071555 | cell wall organization | biological_process; GO:0071669 | plant-type cell wall organization or biogenesis | biological_process; GO:0097502 | mannosylation | biological_process
Zm00026ab320000,,,Putative receptor protein kinase,chr7,133528792,133532885,5,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00033ab335630,,,Putative E3 ubiquitin-protein ligase XERICO,chr7,133534195,133535227,11,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0016874 | ligase activity | molecular_function; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00036ab326030,,,RNA 3'-terminal phosphate cyclase,chr7,133535107,133538866,7,"GO:0003963 | RNA-3'-phosphate cyclase activity | molecular_function; GO:0004521 | endoribonuclease activity | molecular_function; GO:0005730 | nucleolus | cellular_component; GO:0006396 | RNA processing | biological_process; GO:0016072 | rRNA metabolic process | biological_process; GO:0042254 | ribosome biogenesis | biological_process; GO:0090502 | RNA phosphodiester bond hydrolysis, endonucleolytic | biological_process"
Zm00026ab320010,,,Heavy metal-associated isoprenylated plant protein 41,chr7,133538065,133541350,7,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0045893 | positive regulation of DNA-templated transcription | biological_process; GO:0070042 | rRNA (uridine-N3-)-methyltransferase activity | molecular_function; GO:0070475 | rRNA base methylation | biological_process
Zm00028ab325290,,,Epimerase domain-containing protein,chr7,133541075,133546097,1,"GO:0016616 | oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor | molecular_function"
Zm00032ab330270,,,,chr7,133541343,133541906,14,"GO:0000175 | 3'-5'-exoribonuclease activity | molecular_function; GO:0000176 | nuclear exosome (RNase complex) | cellular_component; GO:0000467 | exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) | biological_process; GO:0003727 | single-stranded RNA binding | molecular_function; GO:0005730 | nucleolus | cellular_component; GO:0071035 | nuclear polyadenylation-dependent rRNA catabolic process | biological_process; GO:0071036 | nuclear polyadenylation-dependent snoRNA catabolic process | biological_process; GO:0071037 | nuclear polyadenylation-dependent snRNA catabolic process | biological_process; GO:0071038 | nuclear polyadenylation-dependent tRNA catabolic process | biological_process; GO:0071039 | nuclear polyadenylation-dependent CUT catabolic process | biological_process; GO:0071040 | nuclear polyadenylation-dependent antisense transcript catabolic process | biological_process; GO:0071044 | histone mRNA catabolic process | biological_process; GO:0071048 |  | ; GO:0071051 | polyadenylation-dependent snoRNA 3'-end processing | biological_process"
Zm00028ab325300,,,3-hydroxy-3-methylglutaryl coenzyme A reductase,chr7,133553006,133557524,9,GO:0004420 | hydroxymethylglutaryl-CoA reductase (NADPH) activity | molecular_function; GO:0005777 | peroxisome | cellular_component; GO:0005789 | endoplasmic reticulum membrane | cellular_component; GO:0008299 | isoprenoid biosynthetic process | biological_process; GO:0015936 | coenzyme A metabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016126 | sterol biosynthetic process | biological_process; GO:0016746 | acyltransferase activity | molecular_function; GO:0031903 | microbody membrane | cellular_component
Zm00022ab322380,,,tRNase Z TRZ2,chr7,133566294,133569486,3,"GO:0016021 | integral component of membrane | cellular_component; GO:0034414 | tRNA 3'-trailer cleavage, endonucleolytic | biological_process; GO:0042781 | 3'-tRNA processing endoribonuclease activity | molecular_function"
Zm00029ab331610,,,HAP5 subunit of HAP complex,chr7,133567083,133568165,9,"GO:0001228 | DNA-binding transcription activator activity, RNA polymerase II-specific | molecular_function; GO:0003677 | DNA binding | molecular_function; GO:0003887 | DNA-directed DNA polymerase activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0045944 | positive regulation of transcription by RNA polymerase II | biological_process; GO:0046982 | protein heterodimerization activity | molecular_function; GO:0048579 | negative regulation of long-day photoperiodism, flowering | biological_process; GO:0071897 | DNA biosynthetic process | biological_process"
Zm00037ab320700,,,tRNase Z TRZ2,chr7,133567439,133570662,3,"GO:0016021 | integral component of membrane | cellular_component; GO:0034414 | tRNA 3'-trailer cleavage, endonucleolytic | biological_process; GO:0042781 | 3'-tRNA processing endoribonuclease activity | molecular_function"
Zm00029ab331620,,,BURP domain-containing protein,chr7,133570906,133572303,1,GO:0016021 | integral component of membrane | cellular_component
Zm00029ab331630,,,GPI-anchored protein LLG1,chr7,133574225,133575389,6,GO:0005515 | protein binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0009536 | plastid | cellular_component; GO:0031224 | intrinsic component of membrane | cellular_component; GO:0045927 | positive regulation of growth | biological_process; GO:0090406 | pollen tube | cellular_component
Zm00029ab331640,,,PSI-G,chr7,133575923,133576819,9,GO:0006740 | NADPH regeneration | biological_process; GO:0009522 | photosystem I | cellular_component; GO:0009535 | chloroplast thylakoid membrane | cellular_component; GO:0009941 | chloroplast envelope | cellular_component; GO:0015979 | photosynthesis | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0022900 | electron transport chain | biological_process; GO:0042550 | photosystem I stabilization | biological_process; GO:0050821 | protein stabilization | biological_process
Zm00030ab317640,,,,chr7,133581900,133582682,8,GO:0000724 | double-strand break repair via homologous recombination | biological_process; GO:0003684 | damaged DNA binding | molecular_function; GO:0005662 | DNA replication factor A complex | cellular_component; GO:0006268 | DNA unwinding involved in DNA replication | biological_process; GO:0006289 | nucleotide-excision repair | biological_process; GO:0007004 | telomere maintenance via telomerase | biological_process; GO:0043047 | single-stranded telomeric DNA binding | molecular_function; GO:0051321 | meiotic cell cycle | biological_process
Zm00035ab328620,,,tRNA (Cytosine(34)-C(5))-methyltransferase,chr7,133582411,133595441,5,GO:0000049 | tRNA binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0016428 | tRNA (cytosine-5-)-methyltransferase activity | molecular_function; GO:0030488 | tRNA methylation | biological_process
Zm00031ab328990,LOC100272508,,tRNA (Cytosine(34)-C(5))-methyltransferase,chr7,133584054,133597185,5,GO:0000049 | tRNA binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0016428 | tRNA (cytosine-5-)-methyltransferase activity | molecular_function; GO:0030488 | tRNA methylation | biological_process
